request_time,write,response_time
1772832449768,false,1772832449778
1772832449818,false,1772832449828
1772832449868,false,1772832449878
1772832449918,true,1772832449928
1772832449968,false,1772832449979
1772832450018,false,1772832450028
1772832450067,true,1772832450078
1772832450118,false,1772832450128
1772832450168,true,1772832450178
1772832450218,false,1772832450226
1772832450267,true,1772832450278
1772832450318,false,1772832450329
1772832450367,false,1772832450378
1772832450418,false,1772832450429
1772832450468,true,1772832450478
1772832450519,true,1772832450528
1772832450569,false,1772832450579
1772832450617,true,1772832450627
1772832450668,false,1772832450677
1772832450717,true,1772832450729
1772832450768,false,1772832450779
1772832450818,false,1772832450827
1772832450868,true,1772832450879
1772832450918,true,1772832450930
1772832450968,false,1772832450979
1772832451018,false,1772832451029
1772832451068,false,1772832451077
1772832451118,false,1772832451129
1772832451167,true,1772832451179
1772832451218,true,1772832451228
1772832451268,true,1772832451279
1772832451318,true,1772832451328
1772832451368,true,1772832451377
1772832451418,true,1772832451429
1772832451469,true,1772832451478
1772832451518,true,1772832451528
1772832451567,false,1772832451578
1772832451618,false,1772832451629
1772832451668,false,1772832451678
1772832451718,false,1772832451729
1772832451768,false,1772832451778
1772832451817,false,1772832451827
1772832451868,true,1772832451877
1772832451918,false,1772832451927
1772832451968,true,1772832451979
1772832452018,false,1772832452027
1772832452068,false,1772832452078
1772832452118,true,1772832452129
1772832452168,true,1772832452178
1772832452217,false,1772832452228
1772832452267,false,1772832452277
1772832452317,false,1772832452328
1772832452368,false,1772832452378
1772832452418,false,1772832452428
1772832452469,true,1772832452480
1772832452518,false,1772832452526
1772832452568,false,1772832452576
1772832452618,true,1772832452627
1772832452667,false,1772832452677
1772832452717,true,1772832452727
1772832452769,false,1772832452778
1772832452818,false,1772832452828
1772832452869,false,1772832452878
1772832452918,false,1772832452929
1772832452968,true,1772832452978
1772832453017,false,1772832453028
1772832453068,false,1772832453078
1772832453118,false,1772832453128
1772832453167,false,1772832453178
1772832453218,false,1772832453228
1772832453268,true,1772832453278
1772832453319,false,1772832453327
1772832453368,true,1772832453377
1772832453417,true,1772832453427
1772832453469,true,1772832453480
1772832453518,true,1772832453529
1772832453568,false,1772832453578
1772832453618,false,1772832453629
1772832453668,false,1772832453678
1772832453718,false,1772832453729
1772832453768,true,1772832453779
1772832453817,false,1772832453829
1772832453868,true,1772832453878
1772832453918,true,1772832453927
1772832453968,true,1772832453978
1772832454018,false,1772832454028
1772832454068,true,1772832454079
1772832454118,false,1772832454128
1772832454168,false,1772832454179
1772832454217,false,1772832454227
1772832454267,false,1772832454278
1772832454318,true,1772832454329
1772832454368,false,1772832454379
1772832454418,true,1772832454428
1772832454469,true,1772832454478
1772832454518,true,1772832454528
1772832454568,true,1772832454578
1772832454618,false,1772832454628
1772832454668,false,1772832454678
1772832454718,true,1772832454728
1772832454768,true,1772832454778
1772832454817,true,1772832454827
1772832454868,true,1772832454878
1772832454918,false,1772832454928
1772832454968,true,1772832454977
1772832455018,false,1772832455027
1772832455068,false,1772832455077
1772832455118,false,1772832455128
1772832455168,true,1772832455177
1772832455217,false,1772832455229
1772832455268,false,1772832455278
1772832455318,false,1772832455328
1772832455368,false,1772832455378
1772832455417,true,1772832455427
1772832455468,false,1772832455478
1772832455518,false,1772832455527
1772832455568,false,1772832455579
